exp_type;metric;revision_nr;traintestsplit;independent_test;revtype;trial;init_train_val;tp_0;fp_0;tn_0;fn_0;tp_1;fp_1;tn_1;fn_1;init_test_val;tp_0;fp_0;tn_0;fn_0;tp_1;fp_1;tn_1;fn_1;new_train_val;tp_0;fp_0;tn_0;fn_0;tp_1;fp_1;tn_1;fn_1;new_test_val;tp_0;fp_0;tn_0;fn_0;tp_1;fp_1;tn_1;fn_1;
sel;accuracy;1;false;false;weakening;5;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;
sel;accuracy;2;false;false;weakening;5;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;
sel;accuracy;3;false;false;weakening;5;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;
sel;random;0;false;false;strengthening;5;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.45505992010652463;5;731;763;3;4;899;595;4;0.45505992010652463;5;731;763;3;4;899;595;4;
sel;accuracy;0;false;false;strengthening;5;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;
sel;accuracy;1;false;false;strengthening;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;
sel;accuracy;2;false;false;strengthening;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;
sel;accuracy;3;false;false;strengthening;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;
sel;random;0;false;false;alteration;5;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.2766311584553928;5;731;763;3;7;1438;56;1;0.2766311584553928;5;731;763;3;7;1438;56;1;
sel;accuracy;0;false;false;alteration;5;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.05758988015978695;8;1337;157;0;8;1494;0;0;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;
sel;accuracy;1;false;false;alteration;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;
sel;accuracy;2;false;false;alteration;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;
sel;accuracy;3;false;false;alteration;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;0.7729693741677763;0;0;1494;8;3;669;825;5;
sel;random;0;false;false;weakening;6;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.05996002664890074;11;1346;143;1;12;1475;14;0;0.05996002664890074;11;1346;143;1;12;1475;14;0;
sel;accuracy;0;false;false;weakening;6;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;
sel;accuracy;1;false;false;weakening;6;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;
sel;accuracy;2;false;false;weakening;6;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;
sel;accuracy;3;false;false;weakening;6;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;
sel;random;0;false;false;strengthening;6;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.5526315789473684;11;1333;156;1;9;6;1483;3;0.5526315789473684;11;1333;156;1;9;6;1483;3;
sel;accuracy;0;false;false;strengthening;6;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;
sel;accuracy;1;false;false;strengthening;6;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;
sel;accuracy;2;false;false;strengthening;6;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;
sel;accuracy;3;false;false;strengthening;6;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;
sel;random;0;false;false;alteration;6;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.7015323117921386;11;887;602;1;12;8;1481;0;0.7015323117921386;11;887;602;1;12;8;1481;0;
sel;accuracy;0;false;false;alteration;6;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.07694870086608926;11;1333;156;1;12;1437;52;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;
sel;accuracy;1;false;false;alteration;6;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;
sel;accuracy;2;false;false;alteration;6;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;
sel;accuracy;3;false;false;alteration;6;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;0.9936708860759493;0;0;1489;12;12;7;1482;0;
sel;random;0;false;false;weakening;7;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;
sel;accuracy;0;false;false;weakening;7;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;
sel;accuracy;1;false;false;weakening;7;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;
sel;accuracy;2;false;false;weakening;7;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;
sel;accuracy;3;false;false;weakening;7;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;
sel;random;0;false;false;strengthening;7;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;0.7509986684420773;756;6;541;199;946;534;13;9;0.7509986684420773;756;6;541;199;946;534;13;9;
sel;accuracy;0;false;false;strengthening;7;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;
sel;accuracy;1;false;false;strengthening;7;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;
sel;accuracy;2;false;false;strengthening;7;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;
sel;accuracy;3;false;false;strengthening;7;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;
sel;random;0;false;false;alteration;7;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;0.7383488681757656;807;93;454;148;955;545;2;0;0.7383488681757656;807;93;454;148;955;545;2;0;
sel;accuracy;0;false;false;alteration;7;0.6364846870838881;955;547;0;0;955;545;2;0;0.6364846870838881;955;547;0;0;955;545;2;0;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;
sel;accuracy;1;false;false;alteration;7;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;
sel;accuracy;2;false;false;alteration;7;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;
sel;accuracy;3;false;false;alteration;7;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;0.8135818908122503;760;3;544;195;841;248;299;114;
