exp_type;metric;revision_nr;traintestsplit;independent_test;revtype;trial;init_train_val;tp_0;fp_0;tn_0;fn_0;init_test_val;tp_0;fp_0;tn_0;fn_0;new_train_val;tp_0;fp_0;tn_0;fn_0;new_test_val;tp_0;fp_0;tn_0;fn_0;
sel;accuracy;3;false;false;strengthening;5;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;random;0;false;false;alteration;5;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;0.33022636484687085;0;1006;496;0;0.33022636484687085;0;1006;496;0;
sel;accuracy;0;false;false;alteration;5;0.11984021304926765;0;1322;180;0;0.11984021304926765;0;1322;180;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;1;false;false;alteration;5;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;2;false;false;alteration;5;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;accuracy;3;false;false;alteration;5;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;1.0;0;0;1502;0;
sel;random;0;false;false;weakening;6;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;0.004657351962741184;0;1496;7;0;0.004657351962741184;0;1496;7;0;
sel;accuracy;0;false;false;weakening;6;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;
sel;accuracy;1;false;false;weakening;6;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;
sel;accuracy;2;false;false;weakening;6;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;
sel;accuracy;3;false;false;weakening;6;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;
sel;random;0;false;false;strengthening;6;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;0.6227544910179641;0;567;936;0;0.6227544910179641;0;567;936;0;
sel;accuracy;0;false;false;strengthening;6;0.1217564870259481;0;1320;183;0;0.1217564870259481;0;1320;183;0;0.6227544910179641;0;567;936;0;0.6227544910179641;0;567;936;0;
sel;accuracy;1;false;false;strengthening;6;0.6227544910179641;0;567;936;0;0.6227544910179641;0;567;936;0;1.0;0;0;1503;0;1.0;0;0;1503;0;
