exp_type;metric;revision_nr;traintestsplit;independent_test;revtype;trial;init_train_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;init_test_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;new_train_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;new_test_val;pfc;ppc1;ppc2;pfw;nfw;npc2;npc1;nfc;
sel;accuracy;0;false;false;alteration;38;0.8994003997335109;1262;0;176;0;63;0;0;0;0.8994003997335109;1262;0;176;0;63;0;0;0;0.9580279813457695;1438;0;0;0;63;0;0;0;0.9580279813457695;1438;0;0;0;63;0;0;0;
sel;random;0;false;false;alteration;39;0.28828229027962715;401;0;24;0;1037;14;26;0;0.28828229027962715;401;0;24;0;1037;14;26;0;0.5772303595206392;341;53;31;0;109;956;12;0;0.5772303595206392;341;53;31;0;109;956;12;0;
sel;accuracy;0;false;false;alteration;39;0.28828229027962715;401;0;24;0;1037;14;26;0;0.28828229027962715;401;0;24;0;1037;14;26;0;0.8012649800266312;0;0;367;58;0;0;114;963;0.8012649800266312;0;0;367;58;0;0;114;963;
sel;random;0;false;false;alteration;40;0.6205059920106525;932;0;0;0;570;0;0;0;0.6205059920106525;932;0;0;0;570;0;0;0;0.4973368841544607;0;0;924;8;0;0;570;0;0.4973368841544607;0;0;924;8;0;0;570;0;
sel;accuracy;0;false;false;alteration;40;0.6205059920106525;932;0;0;0;570;0;0;0;0.6205059920106525;932;0;0;0;570;0;0;0;0.7503328894806924;752;0;180;0;0;0;570;0;0.7503328894806924;752;0;180;0;0;0;570;0;
sel;random;0;false;false;alteration;41;0.6135909393737509;921;0;0;0;580;0;0;0;0.6135909393737509;921;0;0;0;580;0;0;0;0.6135909393737509;921;0;0;0;580;0;0;0;0.6135909393737509;921;0;0;0;580;0;0;0;
sel;accuracy;0;false;false;alteration;41;0.6135909393737509;921;0;0;0;580;0;0;0;0.6135909393737509;921;0;0;0;580;0;0;0;0.7428381079280479;729;0;192;0;0;0;580;0;0.7428381079280479;729;0;192;0;0;0;580;0;
sel;random;0;false;false;alteration;42;0.6212524983344436;931;0;3;0;567;0;0;0;0.6212524983344436;931;0;3;0;567;0;0;0;0.5289806795469687;424;0;510;0;337;0;230;0;0.5289806795469687;424;0;510;0;337;0;230;0;
sel;accuracy;0;false;false;alteration;42;0.6212524983344436;931;0;3;0;567;0;0;0;0.6212524983344436;931;0;3;0;567;0;0;0;0.6222518321119254;934;0;0;0;567;0;0;0;0.6222518321119254;934;0;0;0;567;0;0;0;
sel;random;0;false;false;alteration;43;0.8231179213857428;1138;0;138;0;168;0;57;0;0.8231179213857428;1138;0;138;0;168;0;57;0;0.5266489007328448;91;0;1185;0;11;0;214;0;0.5266489007328448;91;0;1185;0;11;0;214;0;
